GCP,X(m),Y(m),Z(m),Image,x(px),y(px)
S01,317990.119,4159903.445,89.864,DSC00371,964,679
S02,318073.712,4159922.672,97.151,DSC00371,7002,730
S03,317983.85,4159874.416,84.525,DSC00371,126,2570
S04,318007.803,4159879.909,85.145,DSC00371,1809,2588
S05,318077.799,4159911.534,96.283,DSC00371,7058,1576
S06,318036.229,4159859.47,85.44,DSC00371,3344,4351
S07,318095.746,4159869.004,91.803,DSC00371,7390,4869
S08,318013.683,4159893.71,89.124,DSC00371,2389,1753
S09,318045.209,4159879.403,88.82,DSC00371,4254,3212
S10,318058.768,4159895.926,90.318,DSC00371,5411,2342
S11,317994.352,4159842.827,81.675,DSC00371,404,4752
